Year,Fentanyl,Heroin,Total,Fentanyl_pct,Heroin_pct
2012,5,125,528,0.946969696969697,23.674242424242426
2013,9,154,625,1.44,24.64
2014,12,128,636,1.8867924528301887,20.125786163522015
2015,12,144,821,1.46163215590743,17.53958587088916
2016,58,163,871,6.659012629161882,18.714121699196326
2017,111,191,974,11.39630390143737,19.609856262833674
2018,216,210,1186,18.21247892074199,17.706576728499158
2019,411,248,1398,29.399141630901287,17.739628040057227
2020,1077,310,2395,44.96868475991649,12.943632567849686
2021,1617,216,2915,55.471698113207545,7.409948542024014
2022,1824,190,3185,57.26844583987442,5.965463108320251
2023,1774,128,2961,59.91219182708545,4.322863897331983
