Year,Fentanyl_Only,Meth_Only,Fentanyl_Meth,Either,Total,Fentanyl_Only_Pct,Meth_Only_Pct,Fentanyl_Meth_Pct,CoInvolvement_Among_Either
2012,5,112,0,117,528,0.946969696969697,21.21212121212121,0.0,0.0
2013,9,133,0,142,625,1.44,21.279999999999998,0.0,0.0
2014,10,170,2,182,636,1.5723270440251573,26.729559748427672,0.3144654088050315,1.098901098901099
2015,10,250,2,262,821,1.2180267965895248,30.45066991473813,0.24360535931790497,0.7633587786259541
2016,50,309,8,367,871,5.7405281285878305,35.47646383467279,0.9184845005740528,2.17983651226158
2017,85,326,26,437,974,8.726899383983573,33.47022587268994,2.6694045174537986,5.949656750572083
2018,150,422,66,638,1186,12.647554806070826,35.58178752107926,5.564924114671164,10.344827586206897
2019,284,451,127,862,1398,20.314735336194563,32.26037195994277,9.084406294706723,14.733178654292342
2020,626,673,451,1750,2395,26.137787056367433,28.100208768267223,18.83089770354906,25.771428571428572
2021,799,634,818,2251,2915,27.409948542024015,21.749571183533448,28.06174957118353,36.33940470901821
2022,863,686,961,2510,3185,27.09576138147567,21.53846153846154,30.172684458398745,38.286852589641434
2023,770,557,1004,2331,2961,26.004728132387704,18.811212428233706,33.90746369469774,43.071643071643074
