Year,Homeless,Deaths,Total,Percentage
2012,0,453,528,85.79545454545455
2012,1,75,528,14.204545454545455
2013,0,539,625,86.24000000000001
2013,1,86,625,13.76
2014,0,539,636,84.74842767295597
2014,1,97,636,15.251572327044025
2015,0,683,821,83.19123020706456
2015,1,138,821,16.808769792935443
2016,0,725,871,83.23765786452354
2016,1,146,871,16.762342135476462
2017,0,760,974,78.02874743326488
2017,1,214,974,21.971252566735114
2018,0,925,1186,77.99325463743676
2018,1,261,1186,22.006745362563237
2019,0,1090,1398,77.96852646638054
2019,1,308,1398,22.031473533619454
2020,0,1826,2395,76.24217118997912
2020,1,569,2395,23.757828810020875
2021,0,2171,2915,74.47684391080618
2021,1,744,2915,25.523156089193826
2022,0,2262,3185,71.0204081632653
2022,1,923,3185,28.97959183673469
2023,0,2242,2961,75.7176629517055
2023,1,719,2961,24.282337048294494
