YearMonth,Deaths,Date
2012-01,51,2012-01-01
2012-02,37,2012-02-01
2012-03,37,2012-03-01
2012-04,41,2012-04-01
2012-05,35,2012-05-01
2012-06,38,2012-06-01
2012-07,43,2012-07-01
2012-08,53,2012-08-01
2012-09,43,2012-09-01
2012-10,55,2012-10-01
2012-11,45,2012-11-01
2012-12,50,2012-12-01
2013-01,52,2013-01-01
2013-02,54,2013-02-01
2013-03,43,2013-03-01
2013-04,47,2013-04-01
2013-05,52,2013-05-01
2013-06,66,2013-06-01
2013-07,55,2013-07-01
2013-08,52,2013-08-01
2013-09,50,2013-09-01
2013-10,60,2013-10-01
2013-11,39,2013-11-01
2013-12,55,2013-12-01
2014-01,54,2014-01-01
2014-02,51,2014-02-01
2014-03,56,2014-03-01
2014-04,42,2014-04-01
2014-05,61,2014-05-01
2014-06,41,2014-06-01
2014-07,51,2014-07-01
2014-08,49,2014-08-01
2014-09,61,2014-09-01
2014-10,57,2014-10-01
2014-11,52,2014-11-01
2014-12,61,2014-12-01
2015-01,70,2015-01-01
2015-02,58,2015-02-01
2015-03,59,2015-03-01
2015-04,63,2015-04-01
2015-05,61,2015-05-01
2015-06,74,2015-06-01
2015-07,88,2015-07-01
2015-08,65,2015-08-01
2015-09,74,2015-09-01
2015-10,56,2015-10-01
2015-11,64,2015-11-01
2015-12,89,2015-12-01
2016-01,69,2016-01-01
2016-02,62,2016-02-01
2016-03,72,2016-03-01
2016-04,62,2016-04-01
2016-05,60,2016-05-01
2016-06,81,2016-06-01
2016-07,78,2016-07-01
2016-08,80,2016-08-01
2016-09,61,2016-09-01
2016-10,73,2016-10-01
2016-11,75,2016-11-01
2016-12,98,2016-12-01
2017-01,77,2017-01-01
2017-02,69,2017-02-01
2017-03,85,2017-03-01
2017-04,70,2017-04-01
2017-05,78,2017-05-01
2017-06,81,2017-06-01
2017-07,96,2017-07-01
2017-08,91,2017-08-01
2017-09,87,2017-09-01
2017-10,76,2017-10-01
2017-11,73,2017-11-01
2017-12,91,2017-12-01
2018-01,96,2018-01-01
2018-02,84,2018-02-01
2018-03,79,2018-03-01
2018-04,98,2018-04-01
2018-05,86,2018-05-01
2018-06,103,2018-06-01
2018-07,111,2018-07-01
2018-08,120,2018-08-01
2018-09,96,2018-09-01
2018-10,104,2018-10-01
2018-11,102,2018-11-01
2018-12,107,2018-12-01
2019-01,114,2019-01-01
2019-02,94,2019-02-01
2019-03,101,2019-03-01
2019-04,107,2019-04-01
2019-05,116,2019-05-01
2019-06,104,2019-06-01
2019-07,148,2019-07-01
2019-08,129,2019-08-01
2019-09,119,2019-09-01
2019-10,107,2019-10-01
2019-11,136,2019-11-01
2019-12,123,2019-12-01
2020-01,148,2020-01-01
2020-02,152,2020-02-01
2020-03,160,2020-03-01
2020-04,191,2020-04-01
2020-05,180,2020-05-01
2020-06,183,2020-06-01
2020-07,235,2020-07-01
2020-08,264,2020-08-01
2020-09,221,2020-09-01
2020-10,218,2020-10-01
2020-11,214,2020-11-01
2020-12,229,2020-12-01
2021-01,266,2021-01-01
2021-02,183,2021-02-01
2021-03,222,2021-03-01
2021-04,227,2021-04-01
2021-05,246,2021-05-01
2021-06,278,2021-06-01
2021-07,248,2021-07-01
2021-08,263,2021-08-01
2021-09,238,2021-09-01
2021-10,258,2021-10-01
2021-11,225,2021-11-01
2021-12,261,2021-12-01
2022-01,250,2022-01-01
2022-02,245,2022-02-01
2022-03,248,2022-03-01
2022-04,282,2022-04-01
2022-05,264,2022-05-01
2022-06,248,2022-06-01
2022-07,296,2022-07-01
2022-08,311,2022-08-01
2022-09,303,2022-09-01
2022-10,238,2022-10-01
2022-11,244,2022-11-01
2022-12,256,2022-12-01
2023-01,288,2023-01-01
2023-02,250,2023-02-01
2023-03,253,2023-03-01
2023-04,215,2023-04-01
2023-05,194,2023-05-01
2023-06,255,2023-06-01
2023-07,290,2023-07-01
2023-08,284,2023-08-01
2023-09,228,2023-09-01
2023-10,223,2023-10-01
2023-11,212,2023-11-01
2023-12,269,2023-12-01
