Race,Year,Total_YPLL,Mean_YPLL_per_Death,Median_YPLL_per_Death,Deaths,Mean_Age,Median_Age,Population,YPLL_Rate_per_100k
ASIAN,2012,513.0,32.0625,32.0,16,42.9375,43.0,1366001,37.55487733903562
ASIAN,2013,564.0,37.6,38.0,15,37.4,37.0,1392815,40.49353288125128
ASIAN,2014,713.0,33.95238095238095,35.0,21,41.04761904761905,40.0,1431071,49.822825003092085
ASIAN,2015,751.0,32.65217391304348,32.0,23,42.34782608695652,43.0,1455392,51.601218091071
ASIAN,2016,812.0,36.90909090909091,40.0,22,38.09090909090909,35.0,1456307,55.75747421388485
ASIAN,2017,1169.0,36.53125,34.0,32,38.46875,41.0,1482797,78.83749427602025
ASIAN,2018,1465.0,35.73170731707317,36.0,41,39.26829268292683,39.0,1473462,99.42570626185133
ASIAN,2019,1149.0,35.90625,37.0,32,39.09375,38.0,1456809,78.8710119171422
ASIAN,2020,2759.0,34.924050632911396,37.0,79,40.075949367088604,38.0,1474237,187.14765672005248
ASIAN,2021,2423.0,34.12676056338028,33.0,71,40.87323943661972,42.0,1434374,168.92386504496037
ASIAN,2022,3265.0,34.36842105263158,36.0,95,40.63157894736842,39.0,1432462,227.9292574602328
ASIAN,2023,2803.0,32.976470588235294,34.0,85,42.023529411764706,41.0,1454666,192.69028079297928
BLACK,2012,1676.0,25.01492537313433,19.0,67,49.985074626865675,56.0,799140,209.7254548639788
BLACK,2013,1866.0,24.233766233766232,22.0,77,50.76623376623377,53.0,801603,232.7835599417667
BLACK,2014,1881.0,26.87142857142857,24.5,70,48.128571428571426,50.5,802664,234.34463237419394
BLACK,2015,3012.0,26.191304347826087,24.0,115,48.80869565217391,51.0,812731,370.60232721527785
BLACK,2016,2769.0,24.504424778761063,21.0,113,50.49557522123894,54.0,793213,349.08656312995373
BLACK,2017,3506.0,26.560606060606062,23.0,132,48.43939393939394,52.0,794235,441.43106259482397
BLACK,2018,4472.0,25.40909090909091,23.0,176,49.59090909090909,52.0,783932,570.4576417342321
BLACK,2019,5949.0,27.669767441860465,27.0,215,47.330232558139535,48.0,777195,765.4449655491865
BLACK,2020,12301.0,28.673659673659674,27.0,429,46.32634032634033,48.0,760689,1617.0866148978096
BLACK,2021,15644.0,29.406015037593985,29.0,532,45.59398496240601,46.0,722464,2165.36740931036
BLACK,2022,17263.0,27.445151033386328,26.0,629,47.554848966613676,49.0,712156,2424.0475401456983
BLACK,2023,17039.0,28.782094594594593,29.0,592,46.2179054054054,46.0,709583,2401.2694779891854
LATINE,2012,5269.0,30.99411764705882,29.0,170,44.00588235294118,46.0,4802133,109.7220755859948
LATINE,2013,5812.0,31.247311827956988,29.5,186,43.75268817204301,45.5,4834936,120.2084164092348
LATINE,2014,5975.0,30.958549222797927,29.0,193,44.04145077720207,46.0,4897745,121.99491806943809
LATINE,2015,7349.0,30.367768595041323,30.0,242,44.63223140495868,45.0,4926661,149.16796589008254
LATINE,2016,8908.0,32.87084870848709,32.0,271,42.12915129151291,43.0,4918830,181.09997702705726
LATINE,2017,10200.0,33.116883116883116,32.0,308,41.883116883116884,43.0,4939605,206.49424397294925
LATINE,2018,11827.0,32.05149051490515,33.0,369,42.94850948509485,42.0,4915287,240.616672027493
LATINE,2019,16412.0,34.12058212058212,33.0,481,40.87941787941788,42.0,4881970,336.17576511121536
LATINE,2020,30782.0,35.340987370838114,36.0,871,39.659012629161886,39.0,5209246,590.9108535093179
LATINE,2021,37847.0,35.14113277623027,36.0,1077,39.85886722376973,39.0,4824989,784.3955706427516
LATINE,2022,40854.0,33.988352745424294,34.0,1202,41.011647254575706,41.0,4766616,857.0860333620329
LATINE,2023,38328.0,33.88859416445624,35.0,1131,41.11140583554376,40.0,4695902,816.2010195272389
WHITE,2012,7966.0,30.756756756756758,29.0,259,44.24324324324324,46.0,2704343,294.56322663212467
WHITE,2013,10081.0,30.734756097560975,29.0,328,44.265243902439025,46.0,2703681,372.8620351291443
WHITE,2014,9493.0,28.766666666666666,26.0,330,46.233333333333334,49.0,2695087,352.23352715515307
WHITE,2015,12306.0,29.510791366906474,28.0,417,45.489208633093526,47.0,2686804,458.01628998616945
WHITE,2016,13331.0,30.366742596810933,28.0,439,44.63325740318906,47.0,2667102,499.83090260514973
WHITE,2017,13833.0,29.620985010706637,28.0,467,45.37901498929336,47.0,2644767,523.0328418344603
WHITE,2018,17638.0,31.052816901408452,29.0,568,43.94718309859155,46.0,2619709,673.2808873046587
WHITE,2019,19790.0,31.562998405103666,30.0,627,43.43700159489633,45.0,2596980,762.0389837426549
WHITE,2020,29755.0,32.0635775862069,32.0,928,42.9364224137931,43.0,2563609,1160.6684170636006
WHITE,2021,35792.0,31.424056189640034,32.0,1139,43.575943810359966,43.0,2420466,1478.7235185290767
WHITE,2022,34079.0,30.158407079646018,30.0,1130,44.84159292035398,45.0,2380266,1431.730739337536
WHITE,2023,30362.0,30.514572864321607,31.0,995,44.48542713567839,44.0,2369899,1281.151644015209
