Year,WHITE_Median_Income,BLACK_Median_Income,LATINE_Median_Income,ASIAN_Median_Income,WHITE_Real_Income_2023,BLACK_Real_Income_2023,LATINE_Real_Income_2023,ASIAN_Real_Income_2023,Median_Gross_Rent,Median_Home_Value,WHITE_Rent_Burden_Pct,BLACK_Rent_Burden_Pct,LATINE_Rent_Burden_Pct,ASIAN_Rent_Burden_Pct
2012,70698,38247,42751,63073,93856.95045482495,50775.78975424609,56755.190937427105,83734.1853523038,1175,399500,19.943987100059406,36.865636520511416,32.98168463895582,22.35504891157865
2013,73081,40042,43352,64932,95767.24936895906,52472.08165230168,56809.59202314026,85088.58712969514,1205,420200,19.786264555766888,36.112082313570745,33.354862520760285,22.26945111809277
2014,74048,39774,45045,65694,95611.21544914969,51356.42398544836,58162.37035310809,84824.48125157249,1239,464400,20.07886776145203,37.38120380147835,33.00699300699301,22.632203854233264
2015,77427,43555,46849,70442,98603.61538461538,55467.478632478626,59662.4017094017,89708.18803418803,1279,497200,19.82254252392576,35.23820456893583,32.76057119682384,21.78813775872349
2016,80776,43973,50078,70790,101054.81788281932,55012.423328231336,62650.083811228906,88561.83220170323,1330,537900,19.75834406259285,36.294999204057035,31.87028235951915,22.545557282101992
2017,83133,45676,54013,75236,101602.23983087573,55823.60682899787,66012.79612169765,91950.80312169375,1402,588700,20.23745083179965,36.83334792889045,31.148056949252954,22.361635387314582
2018,87393,48519,57125,78972,104585.42156750307,58063.91895270424,68362.93761563985,94507.79710078442,1479,625200,20.308262675500327,36.57948432572807,31.06870897155361,22.473788178088437
2019,92457,52136,61174,86544,108277.17404137518,61056.9101941566,71641.38837305001,101352.40977142642,1577,644100,20.46789318277686,36.29737609329446,30.934710824860232,21.866333887964505
2021,95193,51841,66929,90448,105780.17463269878,57606.65209767249,74372.70921172667,100507.44524469593,1711,720300,21.568812832876365,39.60571748230166,30.67728488398153,22.700336104723156
2022,104421,58576,71300,95764,108300.16839939568,60752.05815078386,73948.74600776579,99321.56679786372,1805,805600,20.742954003505044,36.97760174815624,30.378681626928472,22.618102836138842
2023,107041,60696,75772,100119,107041.0,60696.0,75772.0,100119.0,1896,828700,21.255406806737607,37.48517200474496,30.026922873884814,22.724957300812036
