Year,Deaths,Population,Rate_Per_100k,Median_Gross_Rent,Median_Home_Value
2012,528,9671617,5.46,1175.0,399500.0
2013,625,9733035,6.42,1205.0,420200.0
2014,636,9826567,6.47,1239.0,464400.0
2015,821,9881588,8.31,1279.0,497200.0
2016,871,9835452,8.86,1330.0,537900.0
2017,974,9861404,9.88,1402.0,588700.0
2018,1186,9792390,12.11,1479.0,625200.0
2019,1398,9712954,14.39,1577.0,644100.0
2020,2395,10007781,23.93,,
2021,2915,9402293,31.0,1711.0,720300.0
2022,3185,9291500,34.28,1805.0,805600.0
2023,2961,9230050,32.08,1896.0,828700.0
