Race_Ethnicity_Cleaned,Age_Group_5yr,Deaths,Race,Total_Pop_Years,Rate_per_100k,Age_Midpoint
WHITE,0-14,21,WHITE,31052713.0,11.361326142421113,7
WHITE,15-19,109,WHITE,31052713.0,58.9706928344715,17
WHITE,20-24,453,WHITE,31052713.0,245.08003535794117,22
WHITE,25-29,761,WHITE,31052713.0,411.7128187801175,27
WHITE,30-34,847,WHITE,31052713.0,458.2401544109849,32
WHITE,35-39,791,WHITE,31052713.0,427.943284697862,37
WHITE,40-44,733,WHITE,31052713.0,396.564383923556,42
WHITE,45-49,838,WHITE,31052713.0,453.3710146356616,47
WHITE,50-54,979,WHITE,31052713.0,529.6542044490606,52
WHITE,55-59,984,WHITE,31052713.0,532.3592821020179,57
WHITE,60-64,657,WHITE,31052713.0,355.4472035986034,62
WHITE,65-69,336,WHITE,31052713.0,181.7812182787378,67
WHITE,70-74,118,WHITE,31052713.0,63.83983260979483,72
WHITE,75+,52,WHITE,31052713.0,28.132807590757043,80
LATINE,0-14,21,LATINE,58613920.0,6.019048035006019,7
LATINE,15-19,159,LATINE,58613920.0,45.57279226504557,17
LATINE,20-24,489,LATINE,58613920.0,140.15783281514015,22
LATINE,25-29,747,LATINE,58613920.0,214.10613724521411,27
LATINE,30-34,805,LATINE,58613920.0,230.73017467523076,32
LATINE,35-39,753,LATINE,58613920.0,215.82586525521583,37
LATINE,40-44,816,LATINE,58613920.0,233.8830093602339,42
LATINE,45-49,871,LATINE,58613920.0,249.64718278524964,47
LATINE,50-54,699,LATINE,58613920.0,200.34831316520035,52
LATINE,55-59,583,LATINE,58613920.0,167.1002383051671,57
LATINE,60-64,343,LATINE,58613920.0,98.31111790509831,62
LATINE,65-69,158,LATINE,58613920.0,45.28617093004529,67
LATINE,70-74,57,LATINE,58613920.0,16.337416095016337,72
LATINE,75+,28,LATINE,58613920.0,8.025397380008025,80
BLACK,0-14,10,BLACK,9269605.0,18.123749609611195,7
BLACK,15-19,32,BLACK,9269605.0,57.995998750755824,17
BLACK,20-24,119,BLACK,9269605.0,215.6726203543732,22
BLACK,25-29,255,BLACK,9269605.0,462.1556150450855,27
BLACK,30-34,281,BLACK,9269605.0,509.2773640300746,32
BLACK,35-39,305,BLACK,9269605.0,552.7743630931415,37
BLACK,40-44,310,BLACK,9269605.0,561.8362378979471,42
BLACK,45-49,301,BLACK,9269605.0,545.5248632492969,47
BLACK,50-54,382,BLACK,9269605.0,692.3272350871476,52
BLACK,55-59,435,BLACK,9269605.0,788.383108018087,57
BLACK,60-64,404,BLACK,9269605.0,732.1994842282924,62
BLACK,65-69,245,BLACK,9269605.0,444.0318654354743,67
BLACK,70-74,68,BLACK,9269605.0,123.24149734535612,72
BLACK,75+,21,BLACK,9269605.0,38.059874180183506,80
ASIAN,0-14,1,ASIAN,17310393.0,0.9705152274705723,7
ASIAN,15-19,11,ASIAN,17310393.0,10.675667502176294,17
ASIAN,20-24,42,ASIAN,17310393.0,40.761639553764034,22
ASIAN,25-29,53,ASIAN,17310393.0,51.43730705594033,27
ASIAN,30-34,76,ASIAN,17310393.0,73.75915728776349,32
ASIAN,35-39,79,ASIAN,17310393.0,76.6707029701752,37
ASIAN,40-44,67,ASIAN,17310393.0,65.02452024052835,42
ASIAN,45-49,76,ASIAN,17310393.0,73.75915728776349,47
ASIAN,50-54,53,ASIAN,17310393.0,51.43730705594033,52
ASIAN,55-59,36,ASIAN,17310393.0,34.9385481889406,57
ASIAN,60-64,24,ASIAN,17310393.0,23.292365459293734,62
ASIAN,65-69,13,ASIAN,17310393.0,12.616697957117438,67
ASIAN,70-74,1,ASIAN,17310393.0,0.9705152274705723,72
ASIAN,75+,5,ASIAN,17310393.0,4.852576137352861,80
