Year,Race,Deaths,Population,Rate_per_100k,Poverty_Rate_%,Fentanyl_Prevalence_%
2012,WHITE,259,2704343,9.577187509128835,10.78375969263853,1.1583011583011582
2012,BLACK,67,799140,8.384012813774808,25.404623565906743,0.0
2012,LATINE,171,4802133,3.560917617233842,24.742062597612595,1.1695906432748537
2012,ASIAN,16,1366001,1.1713022172018908,12.444605393541352,0.0
2013,WHITE,331,2703681,12.242568557459258,11.39320782359604,2.1148036253776437
2013,BLACK,77,801603,9.605752473481262,24.647242594438797,0.0
2013,LATINE,187,4834936,3.867683046890383,24.307965349142503,1.06951871657754
2013,ASIAN,15,1392815,1.0769556617354064,12.635333703995205,0.0
2014,WHITE,336,2695087,12.46713000359543,11.131242005183212,1.488095238095238
2014,BLACK,70,802664,8.720959205844537,24.78682976106925,1.4285714285714286
2014,LATINE,194,4897745,3.9610065448487006,23.87586806003349,1.0309278350515463
2014,ASIAN,21,1431071,1.4674324334711555,12.687954508174313,14.285714285714285
2015,WHITE,421,2686804,15.669174230796141,10.259488008508695,2.375296912114014
2015,BLACK,117,812731,14.395907132864378,21.993391139421963,0.0
2015,LATINE,243,4926661,4.932346674553009,20.93884986307405,0.823045267489712
2015,ASIAN,23,1455392,1.580330247795783,12.08522519160464,0.0
2016,WHITE,443,2667102,16.609788452035204,9.90287776653236,7.900677200902935
2016,BLACK,113,793213,14.245858300355641,22.09037949359485,5.3097345132743365
2016,LATINE,273,4918830,5.550100328736712,20.11333143571361,4.395604395604396
2016,ASIAN,22,1456307,1.5106704836274218,12.296939619520264,18.181818181818183
2017,WHITE,471,2644767,17.808752150945622,9.738044947487367,11.252653927813164
2017,BLACK,133,794235,16.74567350972949,20.41921841015228,11.278195488721805
2017,LATINE,309,4939605,6.255560920356992,17.790254242055816,11.650485436893204
2017,ASIAN,32,1482797,2.1580836756481165,11.61905612032711,6.25
2018,WHITE,570,2619709,21.75814183941804,9.65415206110907,22.807017543859647
2018,BLACK,176,783932,22.450926866105736,20.734748402460102,9.659090909090908
2018,LATINE,370,4915287,7.5275360319753455,16.762237336594925,15.135135135135137
2018,ASIAN,44,1473462,2.9861645566699377,10.554786003135415,18.181818181818183
2019,WHITE,635,2596980,24.45147825551217,9.068508706269732,29.92125984251969
2019,BLACK,217,777195,27.920920747045464,19.20537292868591,26.72811059907834
2019,LATINE,484,4881970,9.914030606496969,15.792199853483137,28.305785123966942
2019,ASIAN,32,1456809,2.1965817070048304,10.24716406707586,34.375
2020,WHITE,933,2563609,36.394005482115254,,46.51661307609861
2020,BLACK,435,760689,57.18499938871207,,43.9080459770115
2020,LATINE,874,5209246,16.77785998203963,,43.36384439359268
2020,ASIAN,79,1474237,5.358704197493347,,46.835443037974684
2021,WHITE,1146,2420466,47.3462548120899,10.409704348529154,58.20244328097731
2021,BLACK,536,722464,74.19054790273287,20.817049680450708,52.42537313432835
2021,LATINE,1082,4824989,22.42492159049482,16.07213883151028,54.4362292051756
2021,ASIAN,72,1434374,5.019611342648431,11.632207890743553,41.66666666666667
2022,WHITE,1136,2380266,47.72575838162626,9.912096481162951,58.71478873239436
2022,BLACK,630,712156,88.46376355742281,20.401549713954665,57.77777777777777
2022,LATINE,1208,4766616,25.342926722018305,15.880817681352989,56.37417218543046
2022,ASIAN,95,1432462,6.63193857847538,11.357328294354138,43.15789473684211
2023,WHITE,1007,2369899,42.491262285861126,10.76808281420348,61.8669314796425
2023,BLACK,606,709583,85.40227147493668,20.94257450207929,62.70627062706271
2023,LATINE,1144,4695902,24.361666832059104,14.971988855827654,57.95454545454546
2023,ASIAN,87,1454666,5.9807543449836595,11.680417116898582,45.97701149425287
